originAggRegion,destinationAggRegion,year,count
SE Asia & Pacific,NW Europe,2004,14
SE Asia & Pacific,NW Europe,2005,137
SE Asia & Pacific,NW Europe,2006,3353
SE Asia & Pacific,NW Europe,2007,3146
SE Asia & Pacific,NW Europe,2008,3141
SE Asia & Pacific,NW Europe,2009,5121
SE Asia & Pacific,NW Europe,2010,753
SE Asia & Pacific,SE Asia & Pacific,1972,4
SE Asia & Pacific,SE Asia & Pacific,1973,4
SE Asia & Pacific,SE Asia & Pacific,1975,1
SE Asia & Pacific,SE Asia & Pacific,1978,5
SE Asia & Pacific,SE Asia & Pacific,1979,8
SE Asia & Pacific,SE Asia & Pacific,1985,14
SE Asia & Pacific,SE Asia & Pacific,1986,10
SE Asia & Pacific,SE Asia & Pacific,1987,35
SE Asia & Pacific,SE Asia & Pacific,1988,18
SE Asia & Pacific,SE Asia & Pacific,1989,124
SE Asia & Pacific,SE Asia & Pacific,1990,31
SE Asia & Pacific,SE Asia & Pacific,1991,12
SE Asia & Pacific,SE Asia & Pacific,1992,38
SE Asia & Pacific,SE Asia & Pacific,1993,22
SE Asia & Pacific,SE Asia & Pacific,1994,39
SE Asia & Pacific,SE Asia & Pacific,1995,41
SE Asia & Pacific,SE Asia & Pacific,1996,20
SE Asia & Pacific,SE Asia & Pacific,1997,102
SE Asia & Pacific,SE Asia & Pacific,1998,95
SE Asia & Pacific,SE Asia & Pacific,1999,38
SE Asia & Pacific,SE Asia & Pacific,2000,147
SE Asia & Pacific,SE Asia & Pacific,2001,394
SE Asia & Pacific,SE Asia & Pacific,2002,671
SE Asia & Pacific,SE Asia & Pacific,2003,594
SE Asia & Pacific,SE Asia & Pacific,2004,684
SE Asia & Pacific,SE Asia & Pacific,2005,2519
SE Asia & Pacific,SE Asia & Pacific,2006,38641
SE Asia & Pacific,SE Asia & Pacific,2007,41537
SE Asia & Pacific,SE Asia & Pacific,2008,45416
SE Asia & Pacific,SE Asia & Pacific,2009,46157
SE Asia & Pacific,SE Asia & Pacific,2010,6458
SE Asia & Pacific,SE Europe,1972,1
SE Asia & Pacific,SE Europe,1978,1
SE Asia & Pacific,SE Europe,1979,3
SE Asia & Pacific,SE Europe,1985,2
SE Asia & Pacific,SE Europe,1988,1
SE Asia & Pacific,SE Europe,1989,11
SE Asia & Pacific,SE Europe,1990,1
SE Asia & Pacific,SE Europe,1992,2
SE Asia & Pacific,SE Europe,1993,1
SE Asia & Pacific,SE Europe,1994,1
SE Asia & Pacific,SE Europe,1996,7
SE Asia & Pacific,SE Europe,1997,7
SE Asia & Pacific,SE Europe,1998,7
SE Asia & Pacific,SE Europe,1999,4
